date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:11:45	445/445	U-----	200	untouched ('OK')	text/plain	date:Sat,%2005%20Oct%202019%2000:05:58%20GMT	https://clai2faz.wixsite.com/robots.txt		(from )
05:11:45	479049/479049	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2005%20Oct%202019%2003:11:45%20GMT	https://clai2faz.wixsite.com/clai2faz	C:/Mes%20Sites%20Web/Clai2Faz/clai2faz.wixsite.com/clai2faz.html	(from )
05:11:45	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202019%2003:11:45%20GMT	https://clai2faz.wixsite.com/sitemap.xml	C:/Mes%20Sites%20Web/Clai2Faz/clai2faz.wixsite.com/sitemap.xml	(from https://clai2faz.wixsite.com/clai2faz)
05:11:46	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202019%2003:11:46%20GMT	https://clai2faz.wixsite.com/feed.xml	C:/Mes%20Sites%20Web/Clai2Faz/clai2faz.wixsite.com/feed.xml	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	72170/72170	U-----	200	untouched ('')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Mes%20Sites%20Web/Clai2Faz/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	92722/92722	U-----	200	untouched ('')	application/javascript	etag:W/%220b4ffaffdf7e539bc7173575ef1ead1c%22	https://static.parastorage.com/services/wix-bolt/1.3867.0/bolt-main/app/bolt-custom-elements.min.js	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/services/wix-bolt/1.3867.0/bolt-main/app/bolt-custom-elements.min.js	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	14805/14805	U-----	200	untouched ('')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	17493/17493	U-----	200	untouched ('')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://clai2faz.wixsite.com/clai2faz)
05:11:47	1525/1525	U-----	200	untouched ('')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://clai2faz.wixsite.com/clai2faz)
05:11:48	1522/1522	U-----	200	untouched ('')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Mes%20Sites%20Web/Clai2Faz/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://clai2faz.wixsite.com/clai2faz)
